id,text,owner_id,dataset_id,label_1,label_2,label_3,label_4,pelabel_1,pelabel_2,pelabel_3,pelabel_4
1,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
2,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat ,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
3,Disdik Makassar Akan Terapkan Zonasi Guru dan Merger 20 Sekolah https://www.sinarkata.media/2019/01/15/disdik-makassar-akan-terapkan-zonasi-guru-dan-merger-20-sekolah/ â€¦,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
4,Knp dlm sistem zonasi sekolah swasta dan smk tdk diikutkan?,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
5,3.Kuota minimal 90% dlm jalur zonasi #PPDB2019 trmasuk kuota bg peserta didik dr keluarga ekonomi tdk mampu (dibuktikan dgn bukti keikutsertaan dlm prog pnanganan keluarga tdk mampu dr Pemda dan/atau anak penyandang disabilitas pd sekolah dg layanan inklusif. #SemuaBisaSekolah,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
6,"Gak hanya itu bang. Dengan adanya sistem zonasi pasca lulus SD dan SMP   kesakralan un juga menghilang. Pernah saya bertanya kepada siswa SMP   berkahir dengan jawaban yang lucu "" ngapain nilai bagus toh gak di sekolah itu. Ngapain nilai bagus toh kalah dengan yang punya SKTM .",thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
7,"Gr2 liat twit zonasi sekolah jadi kepengen cerita pengalamanq daftar sekolah kemaren :""  Dan jadilah...  Sebuah utas",thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
8,Agar Sekolah Anak Tak Jauh dari Rumah  Dispendik Surabaya Siapkan Zonasi #Berita #blog #Pendidikan #tips http://softwaresekolah.co.id/index.php/2019/04/27/agar-sekolah-anak-tak-jauh-dari-rumah-dispendik-surabaya-siapkan-zonasi/ â€¦,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
9,Sawah jadi mall  sawah jadi perumahan  apartemen  rumah jadi HOTEL tempat Mesum  sekolah digusur jadi hotel jnck  air kota sudah banyak yang tercemar  sekolah sistem zonasi  kota makin panasss  macet.. Kos-kosan makin mahal  kuliah mahal banget ,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
10,Dispendik Surabaya Siapkan Zonasi Agar Sekolah Anak Tak Jauh dari Rumah http://detik.id/6HDAWh ,thWPvizIgKP706FVwOZtkUkJd1D3,NEpZ0lVFTuwS54bty6B2,,,,,,,,
