id,text,owner_id,dataset_id,label_1,label_2,label_3,label_4,pelabel_1,pelabel_2,pelabel_3,pelabel_4
603,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
604,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
605,"Mau saran ajasih Pak/Bu  kalau mau memakai sistem zonasi dalam jangka panjang  pemerataan fasilitas dan kualitas setiap sekolah harus sama rata. Karena label ""sekolah unggulan"" di setiap daerah pasti ada dan itu pasti salah satu tujuan untuk mengantarkan murid tersebut daftar PTN ",Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
606,Zonasi untuk siapa? Kalau untuk guru sangat setuju  tp kl untuk siswa di lihat dulu  jangan 100% zonasi  terutama di daerah yg sekolah negrinya terbatas  tahun lalu peringkat 1 sekecamatan tidak bisa daftar di smp negri di kecamatannya karena rumahnya di luar zonasi  baiknya 50%,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
607,Dinas Pendidikan Kota Tangerang kembali mengkaji sistem zonasi Penerimaan Peserta Didik Baru (PPDB) Sekolah Menengah Pertama Negeri (SMPN) untuk tahun ajaran 2019/2020.  Pasalnya â€¦ https://www.instagram.com/p/BtNhRudHBUQ/?utm_source=ig_twitter_share&igshid=1ob8re9qnhgbj â€¦,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
608,setuju  saya dukung zonasi. beneran ya pemerintah  poin no 6 jangan terjadi lagi. semua sekolah harus di improve kualitasnya  kalau enggak ngapain anak anak ini sediain waktu buat sekolah kalau ketemu pendidikan yang tidak berkualitas.... https://www.facebook.com/story.php?story_fbid=10156012191977997&id=554492996 â€¦,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
609,Sebagai bentuk layanan publik  seluruh sekolah yang dikelola pemerintah (sekolah negeri) harus memberikan layanan kualitas yang sama tanpa diskriminasi.Salah satunya melalui kebijakan zonasi dalam rangka pemerataaan kualitas pendidikan. Setujukah #SahabatItjen dgn sistem zonasi?,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
610,#SahabatItjen Sistem zonasi ini bertujuan untuk memberikan pemerataan pendidikan kpd seluruh masyarakat hingga di remote area.Selain itu  sistem ini memberikan kemudahan bagi pihak sekolah untuk memastikan seluruh anak usia sekolah bisa bersekolah.Apa saja manfaat sistem zonasi? ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
611,#SahabatItjen  Sistem zonasi pendidikan diharapkan dpt menghilangkan label sekolah unggul/favorit karena pada dasarnya sekolah negeri yang memberikan layanan publik harus memenuhi 3 aspek:non rivalry  non excludability & non discrimination. Apa saja dampak adanya sekolah favorit? ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
612,Tentang ortu yg keberatan soal kebijakan zonasi area sekolah untuk penerimaan siswa baru: Mungkin you pernah denger sila kelima  Keadilan sosial bagi seluruh rakyat Indonesia.,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
613,Iyes mbak e. Daku sangat tak setuju sistem zonasi ini. Pemerataan pendidikan bukan dengan pembatasan ekstrim. Sekolah favorit tu bagus  iklim kompetisi bagus buat perkembangan intelektual & mental  & nyatanya sekolah favorit punya fasilitas & metode ajar yg udah terlanjur oke,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
614,http://goo.gl/CMU7Ek  <CEK Akomodasi Sistem Zonasi PPDB 2019  Pemkot Bekasi Akan Merger Sekolah - ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
615,[Tribun Jogja] Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9w3s ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
616,Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9R7R ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
617,http://goo.gl/CMU7Ek  <CEK Kuota Jalur Zonasi PPDB 2019 Jadi 90 Persen  Disdik Kota Bekasi Terkendala Pemerataan Sekolahâ€¦,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
618,PPDB 2019: Sekolah Tunggu Aturan Zonasi Disdikpora DIY http://j.mp/2R3UVoP ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
619,Penerimaan murid baru didasarkan pada sistim zonasi  jarak rumah ke sekolah  bukan nilai Rapor atau UN. ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
620,Sekolah wajib menerapkan #PPDB berbasis #zonasi untuk 90 persen dari siswa baru https://edukasi.kompas.com/read/2019/01/20/17263271/ppdb-2019-syarat-ppdb-jarak-rumah-bukan-rapor-dan-nilai-un?utm_source=Facebook&utm_medium=Refferal&utm_campaign=Sticky_Mobile â€¦,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
621,Hahahaha.. aku bahkan udah mikir mau tinggal dimana setelah nikah takut jaman anakku sekolah nanti masih ada zonasi,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
622,Sistem yang dulu lebih baik  tanpa campur tangan penguasa yang titip sana titip sini  ga ada uang sogokan  ga ada sistem zonasi yang buat sekolah malah mundur. dulu siswa bisa sekolah dimana saja sesuai dengan kemauan dan passing grid. Sekarang untuk urusan sekolah saja sudah KKN ,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
623,Hapus Sekolah Favorit dengan Zonasi https://www.radartasikmalaya.com/hapus-sekolah-favorit-dengan-zonasi/ â€¦,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
624,#HarmoniPagi Pemerintah Kota Makassar melalui dinas pendidikan  mewacanakan akan menerapkan sistem zonasi bagi guru Sekolah Dasar (SD) dan Sekolah Menengah Pertama (SMP) di Kota Makassar untuk mengurangi kemacetan. Info : Tribun Timur #PLS100FMakassar,Fq3YpQPT6AevlrkzMDLmoUj4iXj2,z3fHzaZtgve0BVMt5SKP,,,,,,,,
