date,lokasi,status,text,time,tweet_id,username
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,01:10,1090673509301252096,@yusuf_rizqi
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat ,00:53,1090669319548096512,@yusuf_rizqi
2019-01-30,Bekasi - Semarang,200,"Mau saran ajasih Pak/Bu  kalau mau memakai sistem zonasi dalam jangka panjang  pemerataan fasilitas dan kualitas setiap sekolah harus sama rata. Karena label ""sekolah unggulan"" di setiap daerah pasti ada dan itu pasti salah satu tujuan untuk mengantarkan murid tersebut daftar PTN ",21:59,1090625550400409601,@trianani
2019-01-30,Rawalo Banyumas,200,Zonasi untuk siapa? Kalau untuk guru sangat setuju  tp kl untuk siswa di lihat dulu  jangan 100% zonasi  terutama di daerah yg sekolah negrinya terbatas  tahun lalu peringkat 1 sekecamatan tidak bisa daftar di smp negri di kecamatannya karena rumahnya di luar zonasi  baiknya 50%,07:00,1090399300700463105,@unggul_hp
2019-01-29,Tangerang Indonesia,200,Dinas Pendidikan Kota Tangerang kembali mengkaji sistem zonasi Penerimaan Peserta Didik Baru (PPDB) Sekolah Menengah Pertama Negeri (SMPN) untuk tahun ajaran 2019/2020.  Pasalnya â€¦ https://www.instagram.com/p/BtNhRudHBUQ/?utm_source=ig_twitter_share&igshid=1ob8re9qnhgbj â€¦,15:10,1090160149916987392,@AboutTNG
2019-01-28,Tangerang Banten,200,setuju  saya dukung zonasi. beneran ya pemerintah  poin no 6 jangan terjadi lagi. semua sekolah harus di improve kualitasnya  kalau enggak ngapain anak anak ini sediain waktu buat sekolah kalau ketemu pendidikan yang tidak berkualitas.... https://www.facebook.com/story.php?story_fbid=10156012191977997&id=554492996 â€¦,17:52,1089838512336224256,@widartoadi
2019-01-28,Jakarta Pusat DKI Jakarta,200,Sebagai bentuk layanan publik  seluruh sekolah yang dikelola pemerintah (sekolah negeri) harus memberikan layanan kualitas yang sama tanpa diskriminasi.Salah satunya melalui kebijakan zonasi dalam rangka pemerataaan kualitas pendidikan. Setujukah #SahabatItjen dgn sistem zonasi?,16:56,1089824440332910592,@Itjen_Kemdikbud
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen Sistem zonasi ini bertujuan untuk memberikan pemerataan pendidikan kpd seluruh masyarakat hingga di remote area.Selain itu  sistem ini memberikan kemudahan bagi pihak sekolah untuk memastikan seluruh anak usia sekolah bisa bersekolah.Apa saja manfaat sistem zonasi? ,16:51,1089823287624884226,@Itjen_Kemdikbud
2019-01-28,Jakarta Pusat DKI Jakarta,200,#SahabatItjen  Sistem zonasi pendidikan diharapkan dpt menghilangkan label sekolah unggul/favorit karena pada dasarnya sekolah negeri yang memberikan layanan publik harus memenuhi 3 aspek:non rivalry  non excludability & non discrimination. Apa saja dampak adanya sekolah favorit? ,16:45,1089821719680831488,@Itjen_Kemdikbud
2019-01-28,Yogyakarta Indonesia,200,Tentang ortu yg keberatan soal kebijakan zonasi area sekolah untuk penerimaan siswa baru: Mungkin you pernah denger sila kelima  Keadilan sosial bagi seluruh rakyat Indonesia.,09:48,1089716783634759680,@melisangela__
2019-01-23,Bogor Jawa Barat,200,Iyes mbak e. Daku sangat tak setuju sistem zonasi ini. Pemerataan pendidikan bukan dengan pembatasan ekstrim. Sekolah favorit tu bagus  iklim kompetisi bagus buat perkembangan intelektual & mental  & nyatanya sekolah favorit punya fasilitas & metode ajar yg udah terlanjur oke,20:09,1088061248984408064,@Junoari
2019-01-22,Bandung,200,http://goo.gl/CMU7Ek  <CEK Akomodasi Sistem Zonasi PPDB 2019  Pemkot Bekasi Akan Merger Sekolah - ,08:10,1087517735637209088,@jawabarat_info
2019-01-22,Klaten,200,[Tribun Jogja] Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9w3s ,03:38,1087449278136541184,@kla10_
2019-01-22,Yogyakarta,200,Aturan Sistem Zonasi Wajib Diikuti Peningkatan Kualitas Sekolah http://dlvr.it/Qx9R7R ,01:06,1087411146418581504,@InfoSeJogja
2019-01-21,Bandung,200,http://goo.gl/CMU7Ek  <CEK Kuota Jalur Zonasi PPDB 2019 Jadi 90 Persen  Disdik Kota Bekasi Terkendala Pemerataan Sekolahâ€¦,21:46,1087360823717187584,@jawabarat_info
2019-01-21,Jl Jend Sudirman 52 Yogyakarta,200,PPDB 2019: Sekolah Tunggu Aturan Zonasi Disdikpora DIY http://j.mp/2R3UVoP ,17:28,1087295849393242112,@tribunjogja
2019-01-21,Bintan Island Indonesia,200,Penerimaan murid baru didasarkan pada sistim zonasi  jarak rumah ke sekolah  bukan nilai Rapor atau UN. ,00:31,1087040046056693760,@pmsitohang
