date,lokasi,status,text,time,tweet_id,username
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat,01:10,1090673509301252096,@yusuf_rizqi
2019-01-31,Kota Bandung Jawa Barat,200,Kenapa tidak dilakukan pemerataan kualitas dulu baru di berlakukan sistem zonasi ? terutama pemerataan FASILITAS sekolah karena jika semuanya sudah merata tanpa di paksa sistem pun masyarakat pasti lebih memilih sekolah yang lebih dekat ,00:53,1090669319548096512,@yusuf_rizqi
2019-01-15,Kota Makassar,200,Disdik Makassar Akan Terapkan Zonasi Guru dan Merger 20 Sekolah https://www.sinarkata.media/2019/01/15/disdik-makassar-akan-terapkan-zonasi-guru-dan-merger-20-sekolah/ â€¦,13:16,1085058021229760512,@sinarkata_media
2019-02-20,Kota Surabaya Jawa Timur,200,Knp dlm sistem zonasi sekolah swasta dan smk tdk diikutkan?,21:18,1098225357822410752,@siinuurii
2019-02-10,Kota Malang Jawa Timur,200,3.Kuota minimal 90% dlm jalur zonasi #PPDB2019 trmasuk kuota bg peserta didik dr keluarga ekonomi tdk mampu (dibuktikan dgn bukti keikutsertaan dlm prog pnanganan keluarga tdk mampu dr Pemda dan/atau anak penyandang disabilitas pd sekolah dg layanan inklusif. #SemuaBisaSekolah,12:58,1094475700730392581,@PemkotMalang
2019-03-19,Kota Magelang,200,"Gak hanya itu bang. Dengan adanya sistem zonasi pasca lulus SD dan SMP   kesakralan un juga menghilang. Pernah saya bertanya kepada siswa SMP   berkahir dengan jawaban yang lucu "" ngapain nilai bagus toh gak di sekolah itu. Ngapain nilai bagus toh kalah dengan yang punya SKTM .",17:39,1107954862602358784,@MuhamadAtik7
2019-03-02,Kota Semarang Jawa Tengah,200,"Gr2 liat twit zonasi sekolah jadi kepengen cerita pengalamanq daftar sekolah kemaren :""  Dan jadilah...  Sebuah utas",13:52,1101736948861820930,@dimethycone
2019-04-27,Kota Surabaya Jawa Timur,200,Agar Sekolah Anak Tak Jauh dari Rumah  Dispendik Surabaya Siapkan Zonasi #Berita #blog #Pendidikan #tips http://softwaresekolah.co.id/index.php/2019/04/27/agar-sekolah-anak-tak-jauh-dari-rumah-dispendik-surabaya-siapkan-zonasi/ â€¦,20:22,1122128976070291456,@umrohsurabayaa
2019-04-27,Kota Yogyakarta 55167,200,Sawah jadi mall  sawah jadi perumahan  apartemen  rumah jadi HOTEL tempat Mesum  sekolah digusur jadi hotel jnck  air kota sudah banyak yang tercemar  sekolah sistem zonasi  kota makin panasss  macet.. Kos-kosan makin mahal  kuliah mahal banget ,12:59,1122017345084350465,@ivan_yulyanto
2019-04-26,Kota Surabaya East Java,200,Dispendik Surabaya Siapkan Zonasi Agar Sekolah Anak Tak Jauh dari Rumah http://detik.id/6HDAWh ,19:35,1121754682441887744,@detikSBY
2019-04-25,Kota Surabaya Jawa Timur,200,jujur niatnya bagus  apalagi yg sebenernya bikin suatu sekolah itu favorit dari awal emg kualiatas muridnya bagus2  bukan cuma gurunya. tp nyesek jg kalo di zonasi gini tp ptn liatnya ttp ke sekolah2 itu mulu,20:58,1121413175339917312,@brrday
2019-04-25,Kota Surabaya Jawa Timur,200,gini ini kasian sama yang pinter  pingin masuk sekolah favorit tapi jauh. keenakan yang ga pinter  tambah ga belajar buat un  nggampangin karena sistem zonasi. @Sndrinafebi @Shakinaa_0330,18:27,1121375208105922560,@rejaasetyawan
2019-04-25,Kota Surabaya Jawa Timur,200,Mengeluh Zonasi Sekolah  Pelajar Banyumas Curhat ke Bupati #Berita #blog #Pendidikan #tips http://softwaresekolah.co.id/index.php/2019/04/25/mengeluh-zonasi-sekolah-pelajar-banyumas-curhat-ke-bupati/ â€¦,16:44,1121349371142995968,@umrohsurabayaa
2019-04-18,Kota Surabaya Jawa Timur,200,Mendikbud Minta Sekolah Taati PPDB Sistem Zonasi https://d-onenews.com/mendikbud-minta-sekolah-taati-ppdb-sistem-zonasi/ â€¦,14:28,1118778407372906497,@d_onenews_com
2019-04-04,Kota Metro Lampung,200,Pak tolong pendaftaran secara ZONASI diHapuskan karena tambah memperSulit untuk masuk sekolah yg diInginkan. Terimakasih,20:32,1113796402058911744,@LibanaApriyanto
2019-04-04,Kota Surabaya Jawa Timur,200,Tak Ada Sekolah Favorit  2019 PPDB 90 Persen Berdasarkan Zonasi http://harianbhirawa.com/tak-ada-sekolah-favorit-2019-ppdb-90-persen-berdasarkan-zonasi/ â€¦,18:33,1113766599734046720,@HelmiSupriyatno
2019-05-31,Kota Cirebon Jawa Barat,200,aku setuju sama tujuannya zonasi  tapi ga setuju juga karena kalau mau mencapai tujuan tsb yang dimana semua sekolah itu sama ga ada yang favorit kudunya sekolah itu harus berbenah supaya sarana prasarananya memadai juga biar bisa disamakan dengan sekolah yang favorit itu.,05:30,1134225614230003712,@apriseu_
2019-05-30,Kota Madiun Jawa Timur,200,Mbakku  â€œsekarang kalo nyari jodoh kayak nyari sekolah aja  pake sistem zonasi. Jadi ntar kalo lebaran ga repot mudik.â€�  Aku  â€œHmm  ok Siri! Please download Tinder!â€�,23:25,1134133834239184896,@larasatylaras
